gold	corrupted	error_pred	bad_word
quedaban diez largos minutos por delante y el espanyol lo seguía intentando , hasta que luis garcía firmó una victoria lógica para su equipo ( m .	qwedabav diez largos minutos por delante y el espanyol lo seguía intentando , hasta que luis garcía firmó una victoria lógica para su equipo ( m .	quedaba diez largos minutos por delante y el espanyol lo seguía intentando , hasta que luis garcía firmó una victoria lógica para su equipo ( m .	quedaban / quedaba
el campanillo lo usaba el jefe de la porra peruana en la plaza de acho de lima para que todos los de la porra , esparcidos , se pusieran a protestar .	el campanillo lo usaba el jefe de la `` poróaw peruana '' en la plaza de acho de lima para que todos los de la `` porra '' , esparcidos , se pusieran a protestar .	el campanillo lo usaba el jefe de la poróaw peruana en la plaza de acho de lima para que todos los de la porra , esparcidos , se pusieran a protestar .	porra / poróaw
abc ha consolidado su enorme ventaja respecto a la razón , y pese a tendenciosas informaciones publicadas por la cabecera de planeta , abc supera a la razón en ventas totales , ventas en quiosco y suscripciones en el acumulado enero-noviembre de NUM .	abc ha consolidado su enorme ventaja respecto a `` la razón '' , y pese a tendenciosas informaciones publicadas por la cabecera de planeta , abc supera q `` la razón '' en ventas totales , ventas en quiosco y suscripciones en el acumulado enero-noviembre de NUM .	abc ha consolidado su enorme ventaja respecto a la razón , y pese a tendenciosas informaciones publicadas por la cabecera de planeta , abc supera q la razón en ventas totales , ventas en quiosco y suscripciones en el acumulado enero-setiembre de NUM .	enero-noviembre / enero-setiembre
hasta hoy mismo ha venido gente a comprar lotería , indican , sin dejar esconder esa sonrisa de ilusión del que espera que este año se repita la celebración .	`` hasta hoy mismo ha venido gente a comprar lotería '' , indican , sin dejar esconder esa sonrisa de hilusióna del que espera que este año se repita la celebración .	hasta hoy mismo ha venido gente a comprar lotería , indican , sin dejar esconder esa sonrisa de difusión del que espera que este año se repita la celebración .	ilusión / difusión
la llegada de john cranko al stuttgart colocó a este ballet en la cúspide y , sin duda , esta coreografía del lago es una de las más brillantes efectuadas a partir del clásico de petipá .	la llegada de john craíjnko al stuttgart colocó a este ballet en la cúspide y , sin duda , esta coreografía del `` lago '' es una de las más brillantes efectuadas a partir del clásico de petipá .	la llegada de john craíjnko al stuttgart colocó a este ballet en la cúspide y , sin duda , esta coreografía del lago es una de las más brillantes efectuadas a partir del clásico de petipá .	cranko / craíjnko
previamente , el ministro de comercio de esta región , abdisamad yusuf mohamed abwan , había anunciado que dos de los secuestradores de las dos cooperantes , una española y una argentina , han sido detenidos .	previamente , el ministro de comercio de esta región , abdisamad yuézuf mohamed abwan , había anunciado que dos de los secuestradores de las dos cooperantes , una española y una argentina , han sido detenidos .	previamente , el ministro de comercio de esta región , abdisamad yuézuf mohamed abwan , había anunciado que dos de los secuestradores de las dos cooperantes , una española y una argentina , han sido detenidos .	yusuf / yuézuf
facua acusó al gobierno de aplicar en sus revisiones de tarifas las matemáticas , sin tener en cuenta la acumulación de incrementos en los precios en los últimos años para los consumidores .	facua acusó al gobierno de `` aplicíra en sus revisiones de tarifas las matemáticas , sin tener en cuenta la acumulación de incrementos en los precios en los últimos años para los consumidores '' .	facua acusó al gobierno de aplicada en sus revisiones de tarifas las matemáticas , sin tener en cuenta la acumulación de incrementos en los precios en los últimos años para los consumidores .	aplicar / aplicada
la esposa y el hijo de robert levinson -christine y daniel , en la imagen- , ex agente del fbi que desapareció el pasado marzo cuando efectuaba un viaje de negocios en la isla de kish ( sur de irán ) , están en teherán para entrevistarse con las autoridades iraníes , que insisten en que no tienen información sobre su paradero	la esposa y el hijo de robert levinson -christine y daniel , en la imagen- , ex agente del fbi que desapareció edl pasado marzo cuando efectuaba un viaje de negocios en la isla de kish ( sur de irán ) , están en teherán para entrevistarse con las autoridades iraníes , que insisten en que no tienen información sobre su paradero	la esposa y el hijo de robert levinson -christine y daniel , en la imagen- , ex agente del fbi que desapareció edl pasado marzo cuando efectuaba un viaje de negocios en la isla de kish ( sur de irán ) , están en teherán para entrevistarse con las autoridades iraníes , que insisten en que no tienen información sobre su paradero	el / edl
los expertos indican que el choque del NUM wds con marte será similar al choque del meteorito de tunguska que cayó en siberia en NUM .	los expertos indican que elw choque del NUM wds con marte será similar al choque del meteorito de tunguska que cayó en siberia en NUM .	los expertos indican que elw choque del NUM wds con marte será similar al choque del meteorito de tunguska que cayó en siberia en NUM .	el / elw
asimismo , dichos trabajadores acusaron a los gobernantes del norte de italia de no haber tomado las medidas necesarias para salvaguardar malpensa .	asimismo , dichos trabajadores acusaron a los gobernantes del norte de italia de no haber tomado las medidas necesarias para salvaguardar calpehsa .	asimismo , dichos trabajadores acusaron a los gobernantes del norte de italia de no haber tomado las medidas necesarias para salvaguardar calesa .	malpensa / calesa
así mesmo , crearáse unha nova achega de cara a promoción e distribución das obras audiovisuais galegas .	así mesmo , crearáse unha nova achega de eara a promoción e distribución das obras audiovisuais galegas .	así mesmo , crearáse unha nova achega de eara a promoción e distribución das obras audiovisuais galegas .	cara / eara
el NUM de diciembre , día de los santos inocentes , suele ser especialmente propicio para la publicación de noticias estrambóticas , cuando no inventadas sin más .	"el NUM de diciembre, día de los santos inocentes, suele ser especialmente propicio para la publicación de noticias estrambóticas, cuando no inventadas sin más.
"	el NUM de diciembre , día de los santos inocentes , suele ser especialmente propicio para la fabricación de noticias estrambóticas , cuando no inventadas sin más .	publicación / fabricación
a todos eles trasladeilles o compromiso do pobo galego e do seu goberno de apoiar aquelas iniciativas que redunden na mellora do benestar dos seus cidadáns , dixo o tempo que reiterou o respecto de galicia á autonomía do pobo cubano e das súas institucións para atopar o seu camiño , as súas vías propias de evolución e de futuro no momento que está a vivir .	`` a todos eles trasladeilles o compromiso do pobo galego e do seu goberno de apoiar aquelas iniciativas que redunden na mellora do benestar dos seus cidadáns '' , dixo o tempo que reiterou o respecto de galicia á autonomía do pobo cubano e das súas institucións `` para atopar o seu camiño , as súas vícas propias de evolución e de futuro '' no momento que está a vivir .	a todos eles trasladeilles o compromiso do pobo galego e do seu goberno de apoiar aquelas iniciativas que redunden na mellora do benestar dos seus cidadáns , dixo o tempo que reiterou o respecto de galicia á autonomía do pobo cubano e das súas institucións para atopar o seu camiño , as súas vícas propias de evolución e de futuro no momento que está a vivir .	vías / vícas
el caso dio un giro en septiembre pasado cuando la policía lusa declaró sospechosos a los mccann , pero , aunque desde entonces los ha seguido considerando en esa condición jurídica , no ha presentado cargos contra ellos .	el caso dio un giro en septiembre pasado cuando la policía lusa declaró sospechosos a los mccann , pero , aunque desde entonces lgs ha seguido considerando en esa condición jurídica , no ha presentado cargos contra ellos .	el caso dio un giro en septiembre pasado cuando la policía lusa declaró sospechosos a los mccann , pero , aunque desde entonces les ha seguido considerando en esa condición jurídica , no ha presentado cargos contra ellos .	los / les
noemi navas / muscat ( NUM-NUM-NUM )	"noemi navas / muscat (NUM-NUM-NUM)
"	noemi navas / buscant ( NUM-NUM-NUM )	muscat / buscant
el argumento que desenvainan a la hora de aplicar el citado impuesto es tan flojo como la batuta que lleva uno de los recaudadores .	el argumento que desenvainan a la hora de aplicar el citado impuesto es tan flojo como la bcamtuta que lleva uno de los recaudadores .	el argumento que desenvainan a la hora de aplicar el citado impuesto es tan flojo como la bcamtuta que lleva uno de los recaudadores .	batuta / bcamtuta
ray-ban propone ray-ban ultra , una exclusiva colección con la que conmemora el NUM aniversario de la marca .	ray-ban propone ray-ban bultvra , una exclusiva colección con la que conmemora el NUM aniversario de la marca .	ray-ban propone ray-ban cultura , una exclusiva colección con la que conmemora el NUM aniversario de la marca .	ultra / cultura
abc.es : cordoba - opinion - silencio culpable	abc.es : cordoba - opinion - silencio rulpablxe	abc.es : cordoba - opinion - silencio culpables	culpable / culpables
el gobierno pone cerco a las eléctricas	el gobierno pone fceryo a las eléctricas	el gobierno pone cero a las eléctricas	cerco / cero
coreografía_john cranko .	coreografía_john cranódko .	coreografía_john cranódko .	cranko / cranódko
ya verás donde va éste , pensé , y el tipo saltó por encima de mi cabeza y yo estaba saltando , me pasó por arriba ....	ya verás donde va éste , pensé , y el tipo saltnü por encima de mi cabeza y yo estaba saltando , me pasó por arriba ....	ya verás donde va éste , pensé , y el tipo saltar por encima de mi cabeza y yo estaba saltando , me pasó por arriba ....	saltó / saltar
fármacos para tratar reacciones alérgicas ( antihistamínicos ) o reducir la presión arterial y aliviar la carga del corazón podrían ser más potentes y menos tóxicos , gracias a este avance .	fármacos para tratar reacciones alérgicas ( antihistamínicos ) o reducir la presión arterial y aliviar la carga del corazón powdríaun ser más potentes y menos tóxicos , gracias a este avance .	fármacos para tratar reacciones alérgicas ( antihistamínicos ) o reducir la presión arterial y aliviar la carga del corazón podría ser más potentes y menos tóxicos , gracias a este avance .	podrían / podría
queremos compaginar la digitalización de los fondos más valiosos y los más demandados , así como una selección temática por importancia y por los requerimientos de la bbiblioteca digital europea .	queremos compaginar la digqitklizawión de los fondos más valiosos y los más demandados , así como una selección temática por importancia y por los requerimientos de la bbiblioteca digital europea .	queremos compaginar la digqitklizawión de los fondos más valiosos y los más demandados , así como una selección temática por importancia y por los requerimientos de la bbiblioteca digital europea .	digitalización / digqitklizawión
el NUM de mayo de NUM , en carta a su admirado benito pérez galdós , describe leopoldo alas a grandes rasgos la forma que ha adquirido su existencia a los NUM años : de oviedo no pienso salir ( a no ser por temporadas ) en algunos años .	el NUM de mayo de NUM , en carta a su admirado benito pérez galdós , describe leopoldo alas a grandes rasgos la forma que ha adquirido su existencia q los NUM años : `` de oviedo no pienso salir ( a no ser por temporadas ) en algunos años .	el NUM de mayo de NUM , en carta a su admirado benito pérez galdós , describe leopoldo alas a grandes rasgos la forma que ha adquirido su existencia y los NUM años : de oviedo no pienso salir ( a no ser por temporadas ) en algunos años .	a / y
existen además otros ámbitos en los que las interdependencias son especialmente significativas , demostrando la necesidad de la familia para el crecimiento de un país .	existen además otros ámbitos en los que las interdependencias son especialmente significativas , demostrando la necesidad dpe la familia para el crecimiento de un país .	existen además otros ámbitos en los que las interdependencias son especialmente significativas , demostrando la necesidad dpe la familia para el crecimiento de un país .	de / dpe
ahora , lo que no sean los regalos de papá noel la noche del NUM -¿ahí murieron quizá los aguilandos ? - , malo .	ahora , lo que nn sean los regalos de papá noel la noche del NUM -¿ahí murieron quizá los aguilandos ? - , malo .	ahora , lo que nn sean los regalos de papá noel la noche del NUM -¿ahí murieron quizá los aguilandos ? - , malo .	no / nn
bórrelo .	bórrzéo .	bórrzéo .	bórrelo / bórrzéo
en primer lugar , el bahiano supo que , si manolo jiménez así lo desea , podra ser de la partida para el clásico y a la vez siempre vibrante encuentro entre el sevilla y el betis del próximo NUM de enero .	en primer lugar , el bahiano supo que , si manolo jiménez así lon desea , podra ser de la partida para el clásico y a la vez siempre vibrante encuentro entre el sevilla y el betis del próximo NUM de enero .	en primer lugar , el bahiano supo que , si manolo jiménez así lon desea , podría ser de la partida para el clásico y a la vez siempre vibrante encuentro entre el sevilla y el betis del próximo NUM de enero .	podra / podría
los representantes vecinales hicieron su entrada en el salón de pleno en silencio y con las manos en alto en señal del atraco al que íbamos a asistir , según comentó el presidente de la federación de asociaciones de vecinos de salamanca ( fevesa ) , chema collados .	los representantes vecinales hicieron su entrada en el salón de pleno en silencio y con las manos en alto `` en señal del atraco al que íbamos a asistir '' , según comentó el presidente de la federación de asociaciones de vecinos de salamanca ( fevesa ) , cheíc collados .	los representantes vecinales hicieron su entrada en el salón de pleno en silencio y con las manos en alto en señal del atraco al que íbamos a asistir , según comentó el presidente de la federación de asociaciones de vecinos de salamanca ( fevesa ) , cesc collados .	chema / cesc
digital + y cuatro emitirán en exclusiva la eurocopa NUM	digital + y cuatro emetiránm en exclusiva la eurocopa NUM	digital + y cuatro emitirá en exclusiva la eurocopa NUM	emitirán / emitirá
la cosa no era para menos pues , además de lucir piernas duras como rama de chopo y una entrega que no resistía el taparrabo , los chicos de la quinta del buitre venían dotados de una sensibilidad extrema para el diálogo y la tertulia .	la cosa no era para menos pues , además de lucir piernas duras como rama de chopo y una entrega qul no resistía el taparrabo , los chicos de `` la quinta del buitre '' venían dotados de una sensibilidad extrema para el diálogo y la tertulia .	la cosa no era para menos pues , además de lucir piernas duras como rama de chopo y una entrega qul no resistía el taparrabo , los chicos de la quinta del buitre venían dotados de una sensibilidad extrema para el diálogo y la tertulia .	que / qul
qué house no quiere decir lo mismo que home es cosa de diccionario .	qué house no quiere decir lo mismo que holme es cosa de diccionario .	qué house no quiere decir lo mismo que tome es cosa de diccionario .	home / tome
y , puestos a pedir , convendría que alguien le recordase al tenor clide wright que el término jubilación viene de júbilo .	y , puestos a pedir , convendría que alguien le recordase al tenor clide wright que el término jubilación vñieng de júbilo .	y , puestos a pedir , convendría que alguien le recordase al tenor clide wright que el término jubilación vñieng de júbilo .	viene / vñieng
treinta minutos antes de la hora anunciada por los terroristas , el hexógeno y carga nitrada estallaron .	treinta minutos antes de la hora anunciada por los terroristas , el heyxúógeno y carga nitrada estallaron .	treinta minutos antes de la hora anunciada por los terroristas , el heyxúógeno y carga nitrada estallaron .	hexógeno / heyxúógeno
el último caso lo hemos visto esta semana con la entrada de la firma de inversión china investmenet corporation ( cic ) que contará con una participación del NUM , NUM % de morgan stanley mediante la emisión de valores convertibles en acciones del banco .	el último caso lo hemos visto esta semana con la entrada de la firma de inversión china investmenet corporation ( cic ) que contará con una participación del NUM , NUM % de morgan stanley mediante la emisión de valores convertibles en acceiodes del banco .	el último caso lo hemos visto esta semana con la entrada de la firma de inversión china investmenet corporation ( cic ) que contará con una participación del NUM , NUM % de morgan stanley mediante la emisión de valores convertibles en acceiodes del banco .	acciones / acceiodes
de esta forma , el del bacalao con castañas y la cuerda de chorizos embutidos con leyes y estropajo , seguirán con la monserga , utilizando a los soperones como argumento a cambio de una calderilla que no llega ni para esnifarse las rayas del jersey del evo morales .	de esta forma , el del bacalao con castañas y la cuerda de choúizos embutidos con leyes y estropajo , seguirán con la monserga , utilizando a los soperones como argumento a cambio de una calderilla que no llega ni para esnifarse las rayas del jersey del evo morales .	de esta forma , el del bacalao con castañas y la cuerda de choúizos embutidos con leyes y estropajo , seguirán con la monserga , utilizando a los soperones como argumento a cambio de una calderilla que no llega ni para esnifarse las rayas del jersey del evo morales .	chorizos / choúizos
su victoria sobre robert gardos resultó determinante a la postre para que el conjunto prieguense se hiciera con la gran victoria .	su victoria sobre robert gardos resultó determinante a la postre para que el conjunto prieguense se hiciera con þla gran victoria .	su victoria sobre robert gardos resultó determinante a la postre para que el conjunto prieguense se hiciera con þla gran victoria .	la / þla
soy el ganador y kibaki lo sabe , aseguró en una rueda de prensa que no pudo ser televisada porque a las NUM.NUM hora local ( NUM.NUM gmt ) , el ministro de información , mutahi kagwe , ha ordenado la suspensión de todas las emisiones y programas en directo de televisión como medida de seguridad .	`` soy el ganador y kibaki lo sabe '' , aseguró en una rueda de prensa que no cpudo ser televisada porque a las NUM.NUM hora local ( NUM.NUM gmt ) , el ministro de información , mutahi kagwe , ha ordenado la suspensión de todas las emisiones y programas en directo de televisión `` como medida de seguridad '' .	soy el ganador y kibaki lo sabe , aseguró en una rueda de prensa que no cpudo ser televisada porque a las NUM.NUM hora local ( NUM.NUM gmt ) , el ministro de información , mutahi kagwe , ha ordenado la suspensión de todas las emisiones y programas en directo de televisión como medida de seguridad .	pudo / cpudo
luis césar garrido y jordi bataller respaldan al alero cajista para aupar al equipo de nacho criado a lo más alto en las estadísticas que valoran el acierto en el perímetro .	luis césar garrido y jordi bataller respaldan al alero cajista para aupar al equipo de nacuro criado a lo más alto en las estadísticas que valoran el acierto en el perímetro .	luis césar garrido y jordi bataller respaldan al alero cajista para aupar al equipo de nacuro criado a lo más alto en las estadísticas que valoran el acierto en el perímetro .	nacho / nacuro
te quiero , dice kate mccann , que , según el tabloide británico the sun , tuvo que repetir varias veces su mensaje porque no podía contener las lágrimas .	ae quiero '' , dice kate mccann , que , según el tabloide británico the sun , tuvo que repetir varias veces su mensaje porque no podía contener las lágrimas .	me quiero , dice kate mccann , que , según el tabloide británico the sun , tuvo que repetir varias veces su mensaje porque no podía contener las lágrimas .	te / me
d.w. : y eso cambió su vida .	d.w. : y eso cambió su vpda .	d.w. : y eso cambió su vpda .	vida / vpda
de NUM a NUM fue sede del parlamento de cataluña y en NUM recuperó estas funciones parlamentarias .	de NUM a NUM fue sede del parlamento de cataluña y en NUM redmuperó estas funciones parlamentarias .	de NUM a NUM fue sede del parlamento de cataluña y en NUM recupera estas funciones parlamentarias .	recuperó / recupera
por todo ello , volante exclamó que no aguanto más la falta de respeto hacia moguer y los moguereños por parte de los demás patronos de la fundación porque el propio juan ramón no hubiese consentido que se ningunease a su pueblo de esta manera .	por todo ello , volante exclamó que `` no aguanto más la falta de respeto hacia moguer y los mogmuvereñosb por parte de los demás patronos de la fundación porque el propio juan ramón no hubiese consentido que se ningunease a su pueblo de esta manera '' .	por todo ello , volante exclamó que no aguanto más la falta de respeto hacia moguer y los mogmuvereñosb por parte de los demás patronos de la fundación porque el propio juan ramón no hubiese consentido que se ningunease a su pueblo de esta manera .	moguereños / mogmuvereñosb
hotel vincci frontaura .	ivotel vincci frontaura .	intel vincci frontaura .	hotel / intel
no es que el ave de las NUM salga ahora a las NUM menos cuarto .	"no es que el ave de las NUM salga ahora a las NUM menos cuarto.
"	no es que el ave de los NUM salga ahora a las NUM menos cuarto .	las / los
las cifras de este original evento deportivo eran estas : setenta corredores , ocho kilómetros de distancia , siete estaciones de metro ... y todo esto a las dos de la madrugada , que era la hora prevista para la prueba .	las cifras de euste original evento deportivo eran estas : setenta corredores , ocho kilómetros de distancia , siete estaciones de metro ... y todo esto a las dos de la madrugada , que era la hora prevista para la prueba .	las cifras de esta original evento deportivo eran estas : setenta corredores , ocho kilómetros de distancia , siete estaciones de metro ... y todo esto a las dos de la madrugada , que era la hora prevista para la prueba .	este / esta
si se mantienen estables , las cosas irán a mejor .	si se mantienen estables , las cosas irmán a mejor .	si se mantienen estables , las cosas irá a mejor .	irán / irá
paco nos machacaba .	paco nos machaémaban .	paco nos achacaban .	machacaba / achacaban
